PIN,DSR,ROM,PIN,2764
,1,Vpp
,2,A12
1,A8,3,A7
2,A9,4,A6
3,A10,5,A5
4,A11,6,A4
5,A12,7,A3
6,A13,8,A2
7,A14,9,A1
8,A15,10,A0
9,D0,11,D0
10,D1,12,D1
11,D2,13,D2
12,GND,14,GND

13,D3,15,D3
14,D4,16,D4
15,D5,17,D5
16,D6,18,D6
17,D7,19,D7
18,A4,20,Chip,Enable
19,A5,21,A10
20,/CS1,22,Output,enable
21,/CS3,23,A11
22,A6,24,A9
23,A7,25,A8
24,Vcc,26,N/C
,27,Programming
,28,Vcc
